block,flat_type,unit_no,floor,stack,status,size,cost
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-90,09,90,available,47 Sqm,"$76,900 - 15 Years
$92,300 - 20 Years
$105,000 - 25 Years
$115,400 - 30 Years
$124,200 - 35 Years
$131,700 - 40 Years
$138,000 - 45 Years
$230,700 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-90,10,90,available,47 Sqm,"$77,200 - 15 Years
$92,600 - 20 Years
$105,300 - 25 Years
$115,800 - 30 Years
$124,600 - 35 Years
$132,100 - 40 Years
$138,500 - 45 Years
$231,500 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-90,11,90,available,47 Sqm,"$77,400 - 15 Years
$92,900 - 20 Years
$105,700 - 25 Years
$116,200 - 30 Years
$125,100 - 35 Years
$132,600 - 40 Years
$139,000 - 45 Years
$232,300 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-90,12,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#13-90,13,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#14-90,14,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#15-90,15,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#16-90,16,90,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#02-92,02,92,available,47 Sqm,"$72,100 - 15 Years
$86,600 - 20 Years
$98,500 - 25 Years
$108,200 - 30 Years
$116,500 - 35 Years
$123,500 - 40 Years
$129,500 - 45 Years
$216,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#03-92,03,92,available,47 Sqm,"$73,000 - 15 Years
$87,600 - 20 Years
$99,600 - 25 Years
$109,500 - 30 Years
$117,800 - 35 Years
$125,000 - 40 Years
$131,000 - 45 Years
$218,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#04-92,04,92,available,47 Sqm,"$73,800 - 15 Years
$88,600 - 20 Years
$100,700 - 25 Years
$110,700 - 30 Years
$119,200 - 35 Years
$126,400 - 40 Years
$132,500 - 45 Years
$221,400 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#05-92,05,92,available,47 Sqm,"$74,600 - 15 Years
$89,600 - 20 Years
$101,900 - 25 Years
$112,000 - 30 Years
$120,500 - 35 Years
$127,800 - 40 Years
$134,000 - 45 Years
$223,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#06-92,06,92,available,47 Sqm,"$75,300 - 15 Years
$90,400 - 20 Years
$102,800 - 25 Years
$113,000 - 30 Years
$121,600 - 35 Years
$129,000 - 40 Years
$135,200 - 45 Years
$225,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#07-92,07,92,available,47 Sqm,"$76,000 - 15 Years
$91,200 - 20 Years
$103,700 - 25 Years
$114,000 - 30 Years
$122,700 - 35 Years
$130,100 - 40 Years
$136,400 - 45 Years
$227,900 - 99 Years"
112A,2-Room Flexi (Short Lease/99-Year Lease),#08-92,08,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#09-92,09,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#10-92,10,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#11-92,11,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#12-92,12,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#13-92,13,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#14-92,14,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#15-92,15,92,booked,,
112A,2-Room Flexi (Short Lease/99-Year Lease),#16-92,16,92,booked,,
112A,4-Room,#02-94,02,94,available,93 Sqm,"$452,400"
112A,4-Room,#03-94,03,94,available,93 Sqm,"$456,900"
112A,4-Room,#04-94,04,94,available,93 Sqm,"$461,400"
112A,4-Room,#05-94,05,94,available,93 Sqm,"$465,900"
112A,4-Room,#06-94,06,94,available,93 Sqm,"$469,400"
112A,4-Room,#07-94,07,94,available,93 Sqm,"$472,900"
112A,4-Room,#08-94,08,94,available,93 Sqm,"$476,400"
112A,4-Room,#09-94,09,94,available,93 Sqm,"$477,800"
112A,4-Room,#10-94,10,94,available,93 Sqm,"$479,200"
112A,4-Room,#11-94,11,94,available,93 Sqm,"$480,600"
112A,4-Room,#12-94,12,94,available,93 Sqm,"$482,000"
112A,4-Room,#13-94,13,94,available,93 Sqm,"$492,100"
112A,4-Room,#14-94,14,94,available,93 Sqm,"$502,200"
112A,4-Room,#15-94,15,94,available,93 Sqm,"$503,600"
112A,4-Room,#16-94,16,94,available,93 Sqm,"$503,600"
112A,4-Room,#06-96,06,96,available,93 Sqm,"$478,100"
112A,4-Room,#07-96,07,96,available,93 Sqm,"$481,600"
112A,4-Room,#08-96,08,96,available,93 Sqm,"$485,100"
112A,4-Room,#09-96,09,96,available,93 Sqm,"$486,500"
112A,4-Room,#10-96,10,96,available,93 Sqm,"$487,900"
112A,4-Room,#11-96,11,96,available,93 Sqm,"$489,300"
112A,4-Room,#12-96,12,96,available,93 Sqm,"$490,700"
112A,4-Room,#13-96,13,96,booked,,
112A,4-Room,#14-96,14,96,available,93 Sqm,"$502,200"
112A,4-Room,#15-96,15,96,available,93 Sqm,"$503,600"
112A,4-Room,#16-96,16,96,booked,,
112A,4-Room,#06-98,06,98,available,93 Sqm,"$478,100"
112A,4-Room,#07-98,07,98,available,93 Sqm,"$481,600"
112A,4-Room,#08-98,08,98,available,93 Sqm,"$485,100"
112A,4-Room,#09-98,09,98,available,93 Sqm,"$486,500"
112A,4-Room,#10-98,10,98,available,93 Sqm,"$487,900"
112A,4-Room,#11-98,11,98,available,93 Sqm,"$489,300"
112A,4-Room,#12-98,12,98,available,93 Sqm,"$490,700"
112A,4-Room,#13-98,13,98,available,93 Sqm,"$500,800"
112A,4-Room,#14-98,14,98,available,93 Sqm,"$502,200"
112A,4-Room,#15-98,15,98,available,93 Sqm,"$503,600"
112A,4-Room,#16-98,16,98,available,93 Sqm,"$503,600"
112B,3-Room,#02-100,02,100,available,68 Sqm,"$326,400"
112B,3-Room,#03-100,03,100,available,68 Sqm,"$329,400"
112B,3-Room,#04-100,04,100,available,68 Sqm,"$332,400"
112B,3-Room,#05-100,05,100,available,68 Sqm,"$335,400"
112B,3-Room,#06-100,06,100,booked,,
112B,3-Room,#07-100,07,100,available,68 Sqm,"$340,400"
112B,3-Room,#08-100,08,100,available,68 Sqm,"$342,900"
112B,3-Room,#09-100,09,100,available,68 Sqm,"$343,900"
112B,3-Room,#10-100,10,100,available,68 Sqm,"$344,900"
112B,3-Room,#11-100,11,100,available,68 Sqm,"$345,900"
112B,3-Room,#12-100,12,100,booked,,
112B,3-Room,#13-100,13,100,booked,,
112B,3-Room,#14-100,14,100,available,68 Sqm,"$348,900"
112B,3-Room,#15-100,15,100,booked,,
112B,3-Room,#16-100,16,100,booked,,
112B,4-Room,#02-102,02,102,available,93 Sqm,"$469,800"
112B,4-Room,#03-102,03,102,available,93 Sqm,"$474,300"
112B,4-Room,#04-102,04,102,available,93 Sqm,"$478,800"
112B,4-Room,#05-102,05,102,available,93 Sqm,"$483,300"
112B,4-Room,#06-102,06,102,available,93 Sqm,"$486,800"
112B,4-Room,#07-102,07,102,available,93 Sqm,"$490,300"
112B,4-Room,#08-102,08,102,available,93 Sqm,"$493,800"
112B,4-Room,#09-102,09,102,available,93 Sqm,"$495,200"
112B,4-Room,#10-102,10,102,available,93 Sqm,"$496,600"
112B,4-Room,#11-102,11,102,available,93 Sqm,"$498,000"
112B,4-Room,#12-102,12,102,available,93 Sqm,"$499,400"
112B,4-Room,#13-102,13,102,available,93 Sqm,"$500,800"
112B,4-Room,#14-102,14,102,available,93 Sqm,"$502,200"
112B,4-Room,#15-102,15,102,available,93 Sqm,"$503,600"
112B,4-Room,#16-102,16,102,booked,,
112B,4-Room,#02-104,02,104,available,93 Sqm,"$461,100"
112B,4-Room,#03-104,03,104,available,93 Sqm,"$465,600"
112B,4-Room,#04-104,04,104,available,93 Sqm,"$470,100"
112B,4-Room,#05-104,05,104,available,93 Sqm,"$474,600"
112B,4-Room,#06-104,06,104,available,93 Sqm,"$478,100"
112B,4-Room,#07-104,07,104,available,93 Sqm,"$481,600"
112B,4-Room,#08-104,08,104,available,93 Sqm,"$485,100"
112B,4-Room,#09-104,09,104,available,93 Sqm,"$486,500"
112B,4-Room,#10-104,10,104,available,93 Sqm,"$487,900"
112B,4-Room,#11-104,11,104,available,93 Sqm,"$489,300"
112B,4-Room,#12-104,12,104,available,93 Sqm,"$490,700"
112B,4-Room,#13-104,13,104,available,93 Sqm,"$492,100"
112B,4-Room,#14-104,14,104,booked,,
112B,4-Room,#15-104,15,104,booked,,
112B,4-Room,#16-104,16,104,booked,,
112B,4-Room,#02-106,02,106,available,93 Sqm,"$461,100"
112B,4-Room,#03-106,03,106,available,93 Sqm,"$465,600"
112B,4-Room,#04-106,04,106,available,93 Sqm,"$470,100"
112B,4-Room,#05-106,05,106,available,93 Sqm,"$474,600"
112B,4-Room,#06-106,06,106,available,93 Sqm,"$478,100"
112B,4-Room,#07-106,07,106,available,93 Sqm,"$481,600"
112B,4-Room,#08-106,08,106,booked,,
112B,4-Room,#09-106,09,106,available,93 Sqm,"$486,500"
112B,4-Room,#10-106,10,106,available,93 Sqm,"$487,900"
112B,4-Room,#11-106,11,106,available,93 Sqm,"$489,300"
112B,4-Room,#12-106,12,106,available,93 Sqm,"$490,700"
112B,4-Room,#13-106,13,106,available,93 Sqm,"$492,100"
112B,4-Room,#14-106,14,106,available,93 Sqm,"$502,200"
112B,4-Room,#15-106,15,106,available,93 Sqm,"$503,600"
112B,4-Room,#16-106,16,106,available,93 Sqm,"$503,600"
112B,4-Room,#02-108,02,108,available,93 Sqm,"$461,100"
112B,4-Room,#03-108,03,108,available,93 Sqm,"$465,600"
112B,4-Room,#04-108,04,108,available,93 Sqm,"$470,100"
112B,4-Room,#05-108,05,108,available,93 Sqm,"$474,600"
112B,4-Room,#06-108,06,108,available,93 Sqm,"$486,800"
112B,4-Room,#07-108,07,108,available,93 Sqm,"$490,300"
112B,4-Room,#08-108,08,108,available,93 Sqm,"$493,800"
112B,4-Room,#09-108,09,108,booked,,
112B,4-Room,#10-108,10,108,available,93 Sqm,"$496,600"
112B,4-Room,#11-108,11,108,available,93 Sqm,"$498,000"
112B,4-Room,#12-108,12,108,available,93 Sqm,"$499,400"
112B,4-Room,#13-108,13,108,available,93 Sqm,"$500,800"
112B,4-Room,#14-108,14,108,available,93 Sqm,"$502,200"
112B,4-Room,#15-108,15,108,available,93 Sqm,"$503,600"
112B,4-Room,#16-108,16,108,available,93 Sqm,"$503,600"
112B,4-Room,#02-110,02,110,available,93 Sqm,"$469,800"
112B,4-Room,#03-110,03,110,available,93 Sqm,"$474,300"
112B,4-Room,#04-110,04,110,available,93 Sqm,"$478,800"
112B,4-Room,#05-110,05,110,available,93 Sqm,"$483,300"
112B,4-Room,#06-110,06,110,available,93 Sqm,"$486,800"
112B,4-Room,#07-110,07,110,available,93 Sqm,"$490,300"
112B,4-Room,#08-110,08,110,booked,,
112B,4-Room,#09-110,09,110,available,93 Sqm,"$495,200"
112B,4-Room,#10-110,10,110,booked,,
112B,4-Room,#11-110,11,110,available,93 Sqm,"$498,000"
112B,4-Room,#12-110,12,110,available,93 Sqm,"$499,400"
112B,4-Room,#13-110,13,110,available,93 Sqm,"$500,800"
112B,4-Room,#14-110,14,110,available,93 Sqm,"$502,200"
112B,4-Room,#15-110,15,110,booked,,
112B,4-Room,#16-110,16,110,available,93 Sqm,"$503,600"
113A,3-Room,#02-112,02,112,available,68 Sqm,"$308,300"
113A,3-Room,#03-112,03,112,available,68 Sqm,"$311,300"
113A,3-Room,#06-112,06,112,booked,,
113A,3-Room,#07-112,07,112,booked,,
113A,3-Room,#08-112,08,112,booked,,
113A,3-Room,#09-112,09,112,booked,,
113A,3-Room,#10-112,10,112,booked,,
113A,3-Room,#11-112,11,112,booked,,
113A,3-Room,#12-112,12,112,booked,,
113A,3-Room,#13-112,13,112,booked,,
113A,3-Room,#14-112,14,112,booked,,
113A,3-Room,#15-112,15,112,booked,,
113A,3-Room,#16-112,16,112,booked,,
113A,4-Room,#02-114,02,114,available,93 Sqm,"$443,700"
113A,4-Room,#03-114,03,114,available,93 Sqm,"$448,200"
113A,4-Room,#04-114,04,114,available,93 Sqm,"$452,700"
113A,4-Room,#05-114,05,114,available,93 Sqm,"$474,600"
113A,4-Room,#06-114,06,114,available,93 Sqm,"$486,800"
113A,4-Room,#07-114,07,114,available,93 Sqm,"$490,300"
113A,4-Room,#08-114,08,114,available,93 Sqm,"$493,800"
113A,4-Room,#09-114,09,114,booked,,
113A,4-Room,#10-114,10,114,booked,,
113A,4-Room,#11-114,11,114,booked,,
113A,4-Room,#12-114,12,114,booked,,
113A,4-Room,#13-114,13,114,booked,,
113A,4-Room,#14-114,14,114,booked,,
113A,4-Room,#15-114,15,114,booked,,
113A,4-Room,#16-114,16,114,booked,,
113A,4-Room,#02-116,02,116,available,93 Sqm,"$469,800"
113A,4-Room,#03-116,03,116,available,93 Sqm,"$474,300"
113A,4-Room,#05-116,05,116,available,93 Sqm,"$483,300"
113A,4-Room,#06-116,06,116,available,93 Sqm,"$486,800"
113A,4-Room,#07-116,07,116,available,93 Sqm,"$490,300"
113A,4-Room,#08-116,08,116,available,93 Sqm,"$493,800"
113A,4-Room,#09-116,09,116,available,93 Sqm,"$495,200"
113A,4-Room,#10-116,10,116,available,93 Sqm,"$496,600"
113A,4-Room,#11-116,11,116,available,93 Sqm,"$498,000"
113A,4-Room,#12-116,12,116,booked,,
113A,4-Room,#13-116,13,116,available,93 Sqm,"$500,800"
113A,4-Room,#14-116,14,116,available,93 Sqm,"$502,200"
113A,4-Room,#15-116,15,116,booked,,
113A,4-Room,#16-116,16,116,booked,,
113A,4-Room,#02-118,02,118,available,93 Sqm,"$469,800"
113A,4-Room,#03-118,03,118,available,93 Sqm,"$474,300"
113A,4-Room,#06-118,06,118,available,93 Sqm,"$486,800"
113A,4-Room,#07-118,07,118,available,93 Sqm,"$490,300"
113A,4-Room,#08-118,08,118,booked,,
113A,4-Room,#09-118,09,118,available,93 Sqm,"$495,200"
113A,4-Room,#10-118,10,118,available,93 Sqm,"$496,600"
113A,4-Room,#11-118,11,118,booked,,
113A,4-Room,#12-118,12,118,available,93 Sqm,"$499,400"
113A,4-Room,#13-118,13,118,available,93 Sqm,"$500,800"
113A,4-Room,#14-118,14,118,available,93 Sqm,"$502,200"
113A,4-Room,#15-118,15,118,booked,,
113A,4-Room,#16-118,16,118,available,93 Sqm,"$503,600"
113A,4-Room,#02-120,02,120,available,93 Sqm,"$469,800"
113A,4-Room,#03-120,03,120,available,93 Sqm,"$474,300"
113A,4-Room,#04-120,04,120,available,93 Sqm,"$478,800"
113A,4-Room,#05-120,05,120,available,93 Sqm,"$483,300"
113A,4-Room,#06-120,06,120,booked,,
113A,4-Room,#07-120,07,120,booked,,
113A,4-Room,#08-120,08,120,booked,,
113A,4-Room,#09-120,09,120,booked,,
113A,4-Room,#10-120,10,120,booked,,
113A,4-Room,#11-120,11,120,booked,,
113A,4-Room,#12-120,12,120,booked,,
113A,4-Room,#13-120,13,120,booked,,
113A,4-Room,#14-120,14,120,booked,,
113A,4-Room,#15-120,15,120,booked,,
113A,4-Room,#16-120,16,120,booked,,
113A,4-Room,#02-122,02,122,available,93 Sqm,"$443,700"
113A,4-Room,#03-122,03,122,available,93 Sqm,"$448,200"
113A,4-Room,#04-122,04,122,available,93 Sqm,"$452,700"
113A,4-Room,#05-122,05,122,available,93 Sqm,"$474,600"
113A,4-Room,#06-122,06,122,available,93 Sqm,"$486,800"
113A,4-Room,#07-122,07,122,booked,,
113A,4-Room,#08-122,08,122,booked,,
113A,4-Room,#09-122,09,122,booked,,
113A,4-Room,#10-122,10,122,booked,,
113A,4-Room,#11-122,11,122,booked,,
113A,4-Room,#12-122,12,122,booked,,
113A,4-Room,#13-122,13,122,booked,,
113A,4-Room,#14-122,14,122,booked,,
113A,4-Room,#15-122,15,122,booked,,
113A,4-Room,#16-122,16,122,booked,,
113B,3-Room,#03-06,03,06,available,68 Sqm,"$329,400"
113B,3-Room,#04-06,04,06,available,68 Sqm,"$332,400"
113B,3-Room,#05-06,05,06,available,68 Sqm,"$335,400"
113B,3-Room,#06-06,06,06,available,68 Sqm,"$337,900"
113B,3-Room,#07-06,07,06,available,68 Sqm,"$340,400"
113B,3-Room,#08-06,08,06,available,68 Sqm,"$342,900"
113B,3-Room,#09-06,09,06,available,68 Sqm,"$343,900"
113B,3-Room,#10-06,10,06,available,68 Sqm,"$344,900"
113B,3-Room,#11-06,11,06,booked,,
113B,3-Room,#12-06,12,06,available,68 Sqm,"$346,900"
113B,3-Room,#13-06,13,06,available,68 Sqm,"$347,900"
113B,3-Room,#14-06,14,06,available,68 Sqm,"$348,900"
113B,3-Room,#15-06,15,06,available,68 Sqm,"$349,900"
113B,3-Room,#16-06,16,06,available,68 Sqm,"$349,900"
113B,3-Room,#03-08,03,08,available,68 Sqm,"$329,400"
113B,3-Room,#04-08,04,08,available,68 Sqm,"$332,400"
113B,3-Room,#05-08,05,08,available,68 Sqm,"$335,400"
113B,3-Room,#06-08,06,08,available,68 Sqm,"$337,900"
113B,3-Room,#07-08,07,08,available,68 Sqm,"$340,400"
113B,3-Room,#08-08,08,08,available,68 Sqm,"$342,900"
113B,3-Room,#09-08,09,08,available,68 Sqm,"$343,900"
113B,3-Room,#10-08,10,08,booked,,
113B,3-Room,#11-08,11,08,booked,,
113B,3-Room,#12-08,12,08,available,68 Sqm,"$346,900"
113B,3-Room,#13-08,13,08,available,68 Sqm,"$347,900"
113B,3-Room,#14-08,14,08,booked,,
113B,3-Room,#15-08,15,08,booked,,
113B,3-Room,#16-08,16,08,booked,,
113B,3-Room,#02-10,02,10,booked,,
113B,3-Room,#03-10,03,10,available,68 Sqm,"$320,300"
113B,3-Room,#04-10,04,10,available,68 Sqm,"$323,300"
113B,3-Room,#05-10,05,10,available,68 Sqm,"$326,300"
113B,3-Room,#06-10,06,10,available,68 Sqm,"$328,800"
113B,3-Room,#07-10,07,10,available,68 Sqm,"$331,300"
113B,3-Room,#08-10,08,10,booked,,
113B,3-Room,#09-10,09,10,booked,,
113B,3-Room,#10-10,10,10,booked,,
113B,3-Room,#11-10,11,10,booked,,
113B,3-Room,#12-10,12,10,booked,,
113B,3-Room,#13-10,13,10,booked,,
113B,3-Room,#14-10,14,10,available,68 Sqm,"$339,800"
113B,3-Room,#15-10,15,10,booked,,
113B,3-Room,#16-10,16,10,booked,,
113B,4-Room,#02-02,02,02,available,93 Sqm,"$469,800"
113B,4-Room,#03-02,03,02,available,93 Sqm,"$474,300"
113B,4-Room,#04-02,04,02,available,93 Sqm,"$478,800"
113B,4-Room,#05-02,05,02,available,93 Sqm,"$483,300"
113B,4-Room,#06-02,06,02,booked,,
113B,4-Room,#07-02,07,02,available,93 Sqm,"$490,300"
113B,4-Room,#08-02,08,02,available,93 Sqm,"$493,800"
113B,4-Room,#09-02,09,02,available,93 Sqm,"$495,200"
113B,4-Room,#10-02,10,02,booked,,
113B,4-Room,#13-02,13,02,booked,,
113B,4-Room,#14-02,14,02,booked,,
113B,4-Room,#15-02,15,02,booked,,
113B,4-Room,#16-02,16,02,booked,,
113B,4-Room,#05-04,05,04,available,93 Sqm,"$483,300"
113B,4-Room,#06-04,06,04,available,93 Sqm,"$486,800"
113B,4-Room,#07-04,07,04,available,93 Sqm,"$490,300"
113B,4-Room,#08-04,08,04,available,93 Sqm,"$493,800"
113B,4-Room,#09-04,09,04,available,93 Sqm,"$495,200"
113B,4-Room,#10-04,10,04,available,93 Sqm,"$496,600"
113B,4-Room,#11-04,11,04,booked,,
113B,4-Room,#12-04,12,04,booked,,
113B,4-Room,#13-04,13,04,booked,,
113B,4-Room,#14-04,14,04,available,93 Sqm,"$502,200"
113B,4-Room,#15-04,15,04,booked,,
113B,4-Room,#16-04,16,04,available,93 Sqm,"$503,600"
114A,2-Room Flexi (Short Lease/99-Year Lease),#02-26,02,26,available,47 Sqm,"$68,800 - 15 Years
$82,600 - 20 Years
$93,900 - 25 Years
$103,200 - 30 Years
$111,100 - 35 Years
$117,800 - 40 Years
$123,500 - 45 Years
$206,400 - 99 Years"
114A,2-Room Flexi (Short Lease/99-Year Lease),#03-26,03,26,booked,,
114A,2-Room Flexi (Short Lease/99-Year Lease),#04-26,04,26,booked,,
114A,2-Room Flexi (Short Lease/99-Year Lease),#05-26,05,26,booked,,
114A,2-Room Flexi (Short Lease/99-Year Lease),#06-26,06,26,booked,,
114A,2-Room Flexi (Short Lease/99-Year Lease),#02-28,02,28,available,47 Sqm,"$68,800 - 15 Years
$82,600 - 20 Years
$93,900 - 25 Years
$103,200 - 30 Years
$111,100 - 35 Years
$117,800 - 40 Years
$123,500 - 45 Years
$206,400 - 99 Years"
114A,2-Room Flexi (Short Lease/99-Year Lease),#03-28,03,28,available,47 Sqm,"$69,600 - 15 Years
$83,600 - 20 Years
$95,000 - 25 Years
$104,500 - 30 Years
$112,500 - 35 Years
$119,200 - 40 Years
$125,000 - 45 Years
$208,900 - 99 Years"
114A,2-Room Flexi (Short Lease/99-Year Lease),#04-28,04,28,available,47 Sqm,"$70,500 - 15 Years
$84,600 - 20 Years
$96,200 - 25 Years
$105,700 - 30 Years
$113,800 - 35 Years
$120,700 - 40 Years
$126,500 - 45 Years
$211,400 - 99 Years"
114A,2-Room Flexi (Short Lease/99-Year Lease),#05-28,05,28,available,47 Sqm,"$71,300 - 15 Years
$85,600 - 20 Years
$97,300 - 25 Years
$107,000 - 30 Years
$115,100 - 35 Years
$122,100 - 40 Years
$128,000 - 45 Years
$213,900 - 99 Years"
114A,2-Room Flexi (Short Lease/99-Year Lease),#06-28,06,28,booked,,
114A,3-Room,#02-12,02,12,available,68 Sqm,"$311,200"
114A,3-Room,#03-12,03,12,available,68 Sqm,"$314,200"
114A,3-Room,#04-12,04,12,available,68 Sqm,"$317,200"
114A,3-Room,#05-12,05,12,available,68 Sqm,"$320,200"
114A,3-Room,#06-12,06,12,available,68 Sqm,"$322,700"
114A,3-Room,#07-12,07,12,available,68 Sqm,"$331,300"
114A,3-Room,#08-12,08,12,available,68 Sqm,"$333,800"
114A,3-Room,#09-12,09,12,available,68 Sqm,"$334,800"
114A,3-Room,#10-12,10,12,available,68 Sqm,"$335,800"
114A,3-Room,#11-12,11,12,available,68 Sqm,"$336,800"
114A,3-Room,#12-12,12,12,available,68 Sqm,"$337,800"
114A,3-Room,#13-12,13,12,available,68 Sqm,"$338,800"
114A,3-Room,#14-12,14,12,available,68 Sqm,"$339,800"
114A,3-Room,#15-12,15,12,available,68 Sqm,"$340,800"
114A,3-Room,#16-12,16,12,booked,,
114A,3-Room,#02-14,02,14,available,68 Sqm,"$311,200"
114A,3-Room,#03-14,03,14,available,68 Sqm,"$314,200"
114A,3-Room,#04-14,04,14,available,68 Sqm,"$317,200"
114A,3-Room,#05-14,05,14,available,68 Sqm,"$320,200"
114A,3-Room,#06-14,06,14,available,68 Sqm,"$322,700"
114A,3-Room,#07-14,07,14,available,68 Sqm,"$331,300"
114A,3-Room,#08-14,08,14,available,68 Sqm,"$333,800"
114A,3-Room,#09-14,09,14,available,68 Sqm,"$334,800"
114A,3-Room,#10-14,10,14,available,68 Sqm,"$335,800"
114A,3-Room,#11-14,11,14,available,68 Sqm,"$336,800"
114A,3-Room,#12-14,12,14,booked,,
114A,3-Room,#13-14,13,14,available,68 Sqm,"$338,800"
114A,3-Room,#14-14,14,14,available,68 Sqm,"$339,800"
114A,3-Room,#15-14,15,14,booked,,
114A,3-Room,#16-14,16,14,booked,,
114A,3-Room,#03-16,03,16,available,68 Sqm,"$323,300"
114A,3-Room,#04-16,04,16,available,68 Sqm,"$326,300"
114A,3-Room,#05-16,05,16,available,68 Sqm,"$329,300"
114A,3-Room,#06-16,06,16,booked,,
114A,3-Room,#07-16,07,16,booked,,
114A,3-Room,#08-16,08,16,booked,,
114A,3-Room,#09-16,09,16,booked,,
114A,3-Room,#10-16,10,16,booked,,
114A,3-Room,#11-16,11,16,booked,,
114A,3-Room,#12-16,12,16,booked,,
114A,3-Room,#13-16,13,16,booked,,
114A,3-Room,#14-16,14,16,booked,,
114A,3-Room,#15-16,15,16,booked,,
114A,3-Room,#16-16,16,16,booked,,
114A,3-Room,#02-24,02,24,available,68 Sqm,"$302,200"
114A,3-Room,#03-24,03,24,available,68 Sqm,"$305,200"
114A,3-Room,#04-24,04,24,available,68 Sqm,"$308,200"
114A,3-Room,#05-24,05,24,available,68 Sqm,"$323,300"
114A,3-Room,#06-24,06,24,available,68 Sqm,"$329,300"
114A,4-Room,#06-18,06,18,available,93 Sqm,"$478,100"
114A,4-Room,#07-18,07,18,booked,,
114A,4-Room,#08-18,08,18,booked,,
114A,4-Room,#09-18,09,18,booked,,
114A,4-Room,#10-18,10,18,booked,,
114A,4-Room,#11-18,11,18,booked,,
114A,4-Room,#12-18,12,18,booked,,
114A,4-Room,#13-18,13,18,booked,,
114A,4-Room,#14-18,14,18,booked,,
114A,4-Room,#15-18,15,18,booked,,
114A,4-Room,#16-18,16,18,booked,,
114A,4-Room,#06-20,06,20,available,93 Sqm,"$478,100"
114A,4-Room,#07-20,07,20,available,93 Sqm,"$490,300"
114A,4-Room,#08-20,08,20,available,93 Sqm,"$493,800"
114A,4-Room,#09-20,09,20,available,93 Sqm,"$499,600"
114A,4-Room,#10-20,10,20,available,93 Sqm,"$505,300"
114A,4-Room,#11-20,11,20,available,93 Sqm,"$506,700"
114A,4-Room,#12-20,12,20,available,93 Sqm,"$508,100"
114A,4-Room,#13-20,13,20,available,93 Sqm,"$509,500"
114A,4-Room,#14-20,14,20,available,93 Sqm,"$510,900"
114A,4-Room,#15-20,15,20,booked,,
114A,4-Room,#16-20,16,20,available,93 Sqm,"$512,300"
114A,4-Room,#02-22,02,22,available,93 Sqm,"$452,400"
114A,4-Room,#03-22,03,22,available,93 Sqm,"$456,900"
114A,4-Room,#04-22,04,22,available,93 Sqm,"$461,400"
114A,4-Room,#05-22,05,22,available,93 Sqm,"$474,600"
114A,4-Room,#06-22,06,22,available,93 Sqm,"$478,100"
114A,4-Room,#07-22,07,22,available,93 Sqm,"$490,300"
114A,4-Room,#08-22,08,22,available,93 Sqm,"$493,800"
114A,4-Room,#09-22,09,22,available,93 Sqm,"$495,200"
114A,4-Room,#10-22,10,22,available,93 Sqm,"$496,600"
114A,4-Room,#11-22,11,22,available,93 Sqm,"$498,000"
114A,4-Room,#12-22,12,22,available,93 Sqm,"$499,400"
114A,4-Room,#13-22,13,22,available,93 Sqm,"$500,800"
114A,4-Room,#14-22,14,22,available,93 Sqm,"$502,200"
114A,4-Room,#15-22,15,22,available,93 Sqm,"$503,600"
114A,4-Room,#16-22,16,22,available,93 Sqm,"$503,600"
114B,2-Room Flexi (Short Lease/99-Year Lease),#02-44,02,44,available,47 Sqm,"$68,800 - 15 Years
$82,600 - 20 Years
$93,900 - 25 Years
$103,200 - 30 Years
$111,100 - 35 Years
$117,800 - 40 Years
$123,500 - 45 Years
$206,400 - 99 Years"
114B,2-Room Flexi (Short Lease/99-Year Lease),#03-44,03,44,available,47 Sqm,"$69,600 - 15 Years
$83,600 - 20 Years
$95,000 - 25 Years
$104,500 - 30 Years
$112,500 - 35 Years
$119,200 - 40 Years
$125,000 - 45 Years
$208,900 - 99 Years"
